Type,Price,Bedrooms,Bathrooms,Area,Furnished,Level,Payment_Option,Delivery_Term,City,Price_per_sqm
0,4018000,3,3,164,0,6,Cash,1,123,24500.0
0,1700000,3,3,173,0,3,Cash or Installment,1,207,9826.589595375723
0,1750000,1,1,100,0,4,Cash,1,217,17500.0
0,2450000,3,2,170,0,5,Cash,1,32,14411.764705882353
0,730000,3,2,116,0,5,Installment,1,112,6293.103448275862
0,5125000,3,3,198,0,5,Cash,2,137,25883.838383838385
0,6567500,3,3,185,0,2,Cash,2,170,35500.0
0,530000,3,2,120,0,4,Cash,1,135,4416.666666666667
0,2925000,4,3,225,0,1,Cash or Installment,3,0,13000.0
0,560000,2,1,120,0,3,Cash or Installment,1,135,4666.666666666667
0,6400000,3,3,196,0,3,Cash,2,186,32653.061224489797
0,6000000,3,3,220,0,3,Cash or Installment,3,183,27272.727272727272
0,6020000,3,3,140,0,3,Installment,3,130,43000.0
0,2450000,3,1,160,0,5,Cash,1,177,15312.5
1,1200000,3,2,260,0,0,Cash or Installment,2,31,4615.384615384615
0,3500000,2,2,117,0,3,Installment,3,0,29914.529914529914
0,1900000,3,2,150,0,2,Cash,1,137,12666.666666666666
0,6987200,4,4,255,0,0,Installment,3,151,27400.78431372549
0,8050000,3,2,164,0,2,Installment,3,52,49085.365853658535
0,1850000,3,2,225,0,1,Cash,1,77,8222.222222222223
0,6513000,3,3,167,0,4,Installment,1,206,39000.0
0,3600000,3,3,135,0,2,Cash,2,170,26666.666666666668
0,680000,2,1,78,0,1,Installment,1,112,8717.948717948719
1,2400000,3,3,205,0,0,Cash,3,137,11707.317073170732
0,600000,3,3,165,0,3,Cash or Installment,1,138,3636.3636363636365
0,1600000,3,1,105,1,1,Cash,1,0,15238.095238095239
0,1932000,3,2,210,0,2,Cash,2,96,9200.0
0,580000,3,1,120,0,2,Cash or Installment,1,135,4833.333333333333
0,1773000,3,3,197,0,5,Cash or Installment,3,0,9000.0
0,2000000,2,2,110,0,4,Cash or Installment,2,112,18181.81818181818
0,2650000,2,1,82,1,4,Cash,1,112,32317.073170731706
0,410000,2,1,130,1,2,Cash or Installment,1,135,3153.846153846154
0,1270000,2,1,130,0,3,Cash,1,0,9769.23076923077
0,4000000,3,3,119,0,1,Cash,1,159,33613.445378151264
0,1900000,3,1,142,0,3,Cash,1,137,13380.281690140846
0,4250000,3,3,203,0,4,Cash,3,177,20935.960591133004
0,2200000,3,2,260,0,3,Cash or Installment,3,170,8461.538461538461
0,2250000,3,2,185,0,2,Cash,1,0,12162.162162162162
0,2200000,3,2,240,0,2,Cash or Installment,0,0,9166.666666666666
0,3200000,2,3,165,0,2,Cash,3,36,19393.939393939392
0,400000,2,1,120,0,5,Cash,1,204,3333.3333333333335
0,520000,3,3,154,0,1,Cash or Installment,1,184,3376.6233766233768
0,1550000,3,2,185,0,0,Cash,1,77,8378.378378378378
0,1350000,3,2,150,0,3,Cash,1,117,9000.0
0,514000,3,2,122,0,0,Installment,1,37,4213.11475409836
1,4856778,3,4,176,0,0,Cash or Installment,1,8,27595.329545454544
0,2625320,2,2,157,0,5,Installment,3,102,16721.783439490446
0,4300000,3,2,124,0,0,Cash or Installment,3,170,34677.41935483871
0,1980000,3,2,122,0,0,Cash or Installment,3,137,16229.508196721312
0,2400000,3,1,130,1,3,Cash,1,111,18461.53846153846
0,750000,4,4,175,0,2,Cash or Installment,1,206,4285.714285714285
0,2300000,3,1,130,0,3,Cash,1,111,17692.30769230769
0,5500000,3,2,147,0,2,Cash,1,137,37414.965986394556
0,880000,2,2,105,0,2,Cash or Installment,2,133,8380.952380952382
0,410000,3,1,120,0,7,Cash or Installment,1,135,3416.6666666666665
0,5100000,3,3,203,0,5,Cash,1,112,25123.152709359605
1,3000000,3,3,280,0,0,Cash or Installment,3,133,10714.285714285714
0,2500000,3,2,250,0,3,Cash,1,0,10000.0
0,1040000,2,1,92,0,2,Installment,2,140,11304.347826086956
0,2250000,2,2,130,0,3,Cash,1,171,17307.69230769231
0,3587500,1,2,100,0,0,Cash,1,156,35875.0
0,2300000,4,3,225,0,2,Cash or Installment,3,170,10222.222222222223
0,400000,3,2,146,0,1,Cash or Installment,2,81,2739.72602739726
0,540000,3,3,145,0,0,Cash or Installment,3,170,3724.137931034483
0,350000,3,3,185,0,2,Cash or Installment,3,0,1891.8918918918919
0,2200000,3,2,116,0,4,Installment,1,112,18965.51724137931
0,5200000,3,3,280,0,6,Cash,1,190,18571.428571428572
0,2255000,3,3,160,0,2,Cash,1,160,14093.75
0,2100000,2,1,78,0,1,Cash,1,112,26923.076923076922
0,6000000,2,2,117,0,3,Cash or Installment,1,144,51282.05128205128
0,3200000,3,2,180,0,2,Cash,1,106,17777.777777777777
0,415000,2,2,125,0,2,Installment,2,77,3320.0
0,647500,3,3,185,0,1,Cash or Installment,3,137,3500.0
0,950000,3,2,161,0,3,Cash,3,77,5900.621118012423
0,1950000,3,3,186,0,2,Cash,2,138,10483.870967741936
0,1200000,3,2,120,0,0,Cash or Installment,1,170,10000.0
0,955000,3,2,131,0,1,Installment,1,159,7290.076335877862
